name	type_id	id	lat	lng
故宫	3	3474	39.91804	116.397015	1
颐和园	3	3557	39.99243	116.272876	1
八达岭长城	3	3519	40.356183	116.016838	1
天安门广场	3	3498	39.903756	116.397693	1
天坛	3	3503	39.883675	116.412784	1
圆明园	3	6427	40.007905	116.303579	1
南锣鼓巷	3	3511	39.93744	116.403138	1
798艺术区	3	21100	39.985041	116.494624	1
恭王府	3	3506	39.937295	116.386344	1
景山公园	3	3562	39.925835	116.396776	1
北海公园	3	3812	39.928249	116.38877	1
什刹海	3	3472	39.941836	116.385311	1
慕田峪长城	3	3563	40.43086	116.564036	1
鸟巢	3	10123	39.993424	116.395927	1
雍和宫	3	3516	39.947259	116.417301	1
北京大学	3	3745	39.992799	116.310868	2
清华大学	3	3746	40.003649	116.326831	2
古北水镇	3	7731162	40.640593	117.19266	2
前门大街	3	10220	39.898628	116.397951	2
香山公园	3	3936	39.99023	116.189136	2
中国国家博物馆	3	34665	39.905397	116.401391	2
护国寺小吃(护国寺总店)	1	21539	39.935091	116.374812	2
北京动物园	3	3466	39.942121	116.336538	2
奥林匹克森林公园	3	77946	40.015006	116.392526	2
孔庙和国子监	3	3517	39.946744	116.413936	2
水立方	3	10124	39.992827	116.390376	2
北京全聚德(前门店)	1	3759	39.89662	116.39844	2
烟袋斜街	3	3499	39.93942	116.394727	2
地坛公园	3	3526	39.953664	116.41485	2
北京欢乐谷	3	3560	39.867767	116.494807	2
姚记炒肝店(鼓楼店)	1	3920	39.940926	116.396828	3
明十三陵	3	3553	40.257543	116.22524	3
五道营胡同	3	4089	39.948379	116.415657	3
聚宝源(牛街北口店)	1	21536	39.886772	116.363283	3
玉渊潭公园	3	4430	39.916619	116.319866	3
北京植物园	3	3731	40.001386	116.209722	3
首都博物馆	3	4261	39.906472	116.342121	3
居庸关长城	3	4163	40.289655	116.075166	3
文宇奶酪店(南锣鼓巷店)	1	4029	39.938684	116.403042	3
王府井小吃街	1	3512	39.911337	116.410625	3
胡大饭馆(簋街总店)	1	847091	39.941127	116.419539	3
八大处公园	3	3751	39.962222	116.182754	3
四季民福烤鸭店(前门廊坊二条店)	1	6947012	39.897044	116.39744	3
东来顺饭庄(王府井店)	1	3550	39.910914	116.411403	3
爨底下	3	4131	39.995805	115.646076	3
灵山	3	3481	40.028434	115.462465	4
十渡	3	4119	39.638241	115.599737	4
卢沟桥	3	87591	39.850332	116.219138	4
三里屯太古里	3	4875	39.934352874756	116.4549407959	4
北京自然博物馆	3	862884	39.883092	116.399795	4
四季民福烤鸭店(故宫店)	1	22323574	39.914614	116.40289	4
王府井步行街	3	10160	39.911607	116.411503	4
大董(北京王府井店)	1	6311294	39.91025	116.41103	4
世界公园	5	4154	39.810361	116.287986	4
玉渡山	3	5085	40.529236	115.903038	4
老磁器口豆汁店(天坛店)	1	10139	39.888865	116.412773	4
长安街	3	6625756	39.907549	116.394989	4
什刹海酒吧街	3	3502	39.93911	116.393978	4
角楼	3	6627770	39.922334	116.392483	4
便宜坊烤鸭店(新世界店)	1	9206	39.896237	116.417402	4
黄花城水长城	3	6437	40.411302	116.313083	5
宏源南门涮肉(天坛店)	1	6123238	39.873578	116.413647	5
东交民巷	3	21315	39.9021	116.417029	5
云蒙山森林公园	3	3490	40.585154	116.710228	5
吴裕泰茶庄(前门大街店)	1	156757	39.8978883	116.3981671	5
国家大剧院	3	3515	39.904928	116.389826	5
全聚德(和平门店)	1	10219	39.899371	116.385567	5
蓝色港湾	4	3543	39.949379177804	116.47471725941	5
朝阳公园	3	4239	39.94429	116.482528	5
北京全聚德(王府井店)	1	21542	39.911954	116.412028	5
那家小馆(永安里店)	1	3940	39.907095	116.447118	5
簋街	3	3783	39.94096	116.42561	5
箭扣长城	3	87642	40.465858	116.517113	5
毛主席纪念堂	3	21098	39.902521	116.397766	5
老舍茶馆(前门店)	1	2000	39.899782	116.393386	5
百里山水画廊	3	6929451	40.685361	116.322168	6
